Sample_ID	Original_ID	Simplified_ID	Treatment	Time_Point (h)	Sex	Replicate	Group	Collection_Date	Collection_Time	Replacement
IL64	T4-C0-F-R1	Ctrl_4h_Female_R1	Seawater Control	4	Female	R1	Control_4h_Female	[2025-01-24]	13:00 BST	1
IL20	T4-C0-M-R2	Ctrl_4h_Male_R2	Seawater Control	4	Male	R2	Control_4h_Male	[2025-01-24]	13:00 BST	1
IL65	T4-C0-F-R2	Ctrl_4h_Female_R2	Seawater Control	4	Female	R2	Control_4h_Female	[2025-01-24]	13:00 BST	1
IL21	T4-C0-M-R3	Ctrl_4h_Male_R3	Seawater Control	4	Male	R3	Control_4h_Male	[2025-01-24]	13:00 BST	1
IL66	T4-C0-F-R3	Ctrl_4h_Female_R3	Seawater Control	4	Female	R3	Control_4h_Female	[2025-01-24]	13:00 BST	1
IL22	T4-CD-M-R1	DMSO_4h_Male_R1	DMSO Control	4	Male	R1	DMSO_4h_Male	[2025-01-24]	13:00 BST	1
IL67	T4-CD-F-R1	DMSO_4h_Female_R1	DMSO Control	4	Female	R1	DMSO_4h_Female	[2025-01-24]	13:00 BST	1
IL98	T4-CD-M-B1	DMSO_4h_Male_B1	DMSO Control	4	Male	R2	DMSO_4h_Male	[2025-01-24]	13:00 BST	2
IL68	T4-CD-F-R2	DMSO_4h_Female_R2	DMSO Control	4	Female	R2	DMSO_4h_Female	[2025-01-24]	13:00 BST	1
IL24	T4-CD-M-R3	DMSO_4h_Male_R3	DMSO Control	4	Male	R3	DMSO_4h_Male	[2025-01-24]	13:00 BST	1
IL113	T4-CD-F-B1	DMSO_4h_Female_B1	DMSO Control	4	Female	R3	DMSO_4h_Female	[2025-01-24]	13:00 BST	2
IL25	T4-C100-M-R1	Phen100_4h_Male_R1	Phenanthrene	4	Male	R1	Phen100_4h_Male	[2025-01-24]	13:00 BST	1
IL114	T4-C100-F-B1	Phen100_4h_Female_B1	Phenanthrene	4	Female	R1	Phen100_4h_Female	[2025-01-24]	13:00 BST	2
IL26	T4-C100-M-R2	Phen100_4h_Male_R2	Phenanthrene	4	Male	R2	Phen100_4h_Male	[2025-01-24]	13:00 BST	1
IL71	T4-C100-F-R2	Phen100_4h_Female_R2	Phenanthrene	4	Female	R2	Phen100_4h_Female	[2025-01-24]	13:00 BST	1
IL27	T4-C100-M-R3	Phen100_4h_Male_R3	Phenanthrene	4	Male	R3	Phen100_4h_Male	[2025-01-24]	13:00 BST	1
IL72	T4-C100-F-R3	Phen100_4h_Female_R3	Phenanthrene	4	Female	R3	Phen100_4h_Female	[2025-01-24]	13:00 BST	1
IL28	T8-C0-M-R1	Ctrl_8h_Male_R1	Seawater Control	8	Male	R1	Control_8h_Male	[2025-01-24]	17:00 BST	1
IL73	T8-C0-F-R1	Ctrl_8h_Female_R1	Seawater Control	8	Female	R1	Control_8h_Female	[2025-01-24]	17:00 BST	1
IL29	T8-C0-M-R2	Ctrl_8h_Male_R2	Seawater Control	8	Male	R2	Control_8h_Male	[2025-01-24]	17:00 BST	1
IL115	T8-C0-F-B1	Ctrl_8h_Female_B1	Seawater Control	8	Female	R2	Control_8h_Female	[2025-01-24]	17:00 BST	2
IL100	T8-C0-M-B1	Ctrl_8h_Male_B1	Seawater Control	8	Male	R3	Control_8h_Male	[2025-01-24]	17:00 BST	2
IL75	T8-C0-F-R3	Ctrl_8h_Female_R3	Seawater Control	8	Female	R3	Control_8h_Female	[2025-01-24]	17:00 BST	1
IL101	T8-CD-M-B1	DMSO_8h_Male_B1	DMSO Control	8	Male	R1	DMSO_8h_Male	[2025-01-24]	17:00 BST	2
IL76	T8-CD-F-R1	DMSO_8h_Female_R1	DMSO Control	8	Female	R1	DMSO_8h_Female	[2025-01-24]	17:00 BST	1
IL32	T8-CD-M-R2	DMSO_8h_Male_R2	DMSO Control	8	Male	R2	DMSO_8h_Male	[2025-01-24]	17:00 BST	1
